title,link,points,time
I Put a Toaster in the Dishwasher,https://jdstillwater.blogspot.com/2012/05/i-put-toaster-in-dishwasher.html,73,2024-08-13 00:00:00
National Instruments acquired by Emerson (2023),https://www.ni.com/en/perspectives/letter-to-customers.html,71,2024-08-13 00:00:00
Visualizing Complex Functions,https://vankessel.io/visualizing-complex-functions,68,2024-08-13 00:00:00
Re-fixing Servo's event-loop,https://medium.com/@polyglot_factotum/re-fixing-servos-event-loop-e00bdf267385,65,2024-08-13 21:00:00
"Ancient calendar, recently discovered, may document a long-ago disaster",https://www.nytimes.com/2024/08/10/world/asia/worlds-oldest-calendar-gobekli-tepe.html,60,2024-08-13 14:00:00
CSVs Are Kinda Bad. DSVs Are Kinda Good,https://matthodges.com/posts/2024-08-12-csv-bad-dsv-good/,59,2024-08-13 16:00:00
Of mice and men and Magdalen: C. S. Lewis’s Oxford,https://thecritic.co.uk/issues/july-2024/of-mice-and-men-and-magdalen/,58,2024-08-13 00:00:00
Show HN: We made a tool to help developers improve OpenAPI specs,https://github.com/zuplo/rate-my-openapi,57,2024-08-13 17:00:00
Project Oak by Google,https://github.com/project-oak/oak,54,2024-08-13 21:00:00
Texas sues GM for unlaw­ful­ly collecting and selling dri­vers' pri­vate data [pdf],https://www.texasattorneygeneral.gov/sites/default/files/images/press/General%20Motors%20Data%20Privacy%20Petition%20Filed.pdf,54,2024-08-13 21:00:00
Visual Data Structures Cheat-Sheet,https://photonlines.substack.com/p/visual-data-structures-cheat-sheet,54,2024-08-13 22:00:00
Kubernetes Cost Management with the New OpenCost Plugin for Headlamp,https://headlamp.dev/blog/2024/08/08/opencost-plugin,52,2024-08-13 14:00:00
"Callisto: Reverse polish notation programming language inspired by YSL-C3, Forth",https://github.com/callisto-lang/compiler,50,2024-08-13 00:00:00
Tmpmail: Temporary email right from your terminal written in POSIX sh,https://github.com/sdushantha/tmpmail,39,2024-08-13 21:00:00
A Different Kind of Keyboard,https://ianthehenry.com/posts/peggi/,39,2024-08-13 22:00:00
Kiota: OpenAPI-Based HTTP Client Code Generator,https://github.com/microsoft/kiota,38,2024-08-13 22:00:00
Show HN: I've open sourced DD Poker,https://github.com/dougdonohoe/ddpoker,32,2024-08-13 05:00:00
From Sets to Categories,https://abuseofnotation.github.io/category-theory-illustrated/02_category/,30,2024-08-13 19:00:00
"The ""3B People"" National Public Data Breach",https://www.troyhunt.com/inside-the-3-billion-people-national-public-data-breach/,30,2024-08-13 23:17:00
Show HN: I made a tool to help collect and validate startup ideas,https://www.keepmyidea.app,25,2024-08-13 15:00:00
Show HN: Double – Design and invest in your own stock index,item?id=41246686,22,2024-08-13 22:00:00
Global Sales Tax Compliance and Remittance (For SaaS Companies),https://www.outseta.com/posts/global-sales-tax-compliance-and-remittance,19,2024-08-13 06:00:00
"Tubi Explodes in Popularity, Outranking Max and Apple TV+",https://www.nytimes.com/2024/08/13/business/media/tubi-movies-tv-streaming.html,17,2024-08-13 20:00:00
AMD Ryzen 9 9950X and Ryzen 9 9900X Deliver Excellent Linux Performance,https://www.phoronix.com/review/amd-ryzen-9950x-9900x,15,2024-08-13 20:00:00
Some thoughts on OpenSSH 9.8's PerSourcePenalties feature,https://utcc.utoronto.ca/~cks/space/blog/sysadmin/OpenSSHPerSourcePenaltiesThings,15,2024-08-13 22:00:00
Achieving the perfect golden record with graph data,https://aerospike.com/blog/entity-resolution-golden-record/,13,2024-08-13 18:00:00
The Curse of Knowledge,https://nesslabs.com/curse-of-knowledge,12,2024-08-13 22:00:00
A Backstage Pass to the Production of the MoonSwatch and Scuba Fifty Fathoms,https://www.hodinkee.com/articles/a-backstage-pass-to-the-production-of-the-moonswatch-and-scuba-fifty-fathoms,11,2024-08-13 17:00:00
"Korea EV explosion prompts charging rethink, sparks safety fears",https://www.japantimes.co.jp/business/2024/08/08/tech/korea-ev-explosion-safety-fears/,10,2024-08-13 23:32:00
The Movie 'Didi' Understands the 2000s-Internet Generation,https://www.theatlantic.com/culture/archive/2024/08/didi-movie-review/679456/,9,2024-08-13 20:00:00
Integration and Android,https://stratechery.com/2024/integration-and-android/,9,2024-08-13 21:00:00
S&P Global is paying Accenture to train all 35k staff in 'generative AI',https://newsroom.accenture.com/news/2024/s-p-global-and-accenture-partner-to-enable-customers-and-employees-to-harness-the-full-potential-of-generative-ai,9,2024-08-13 23:36:00
Launch HN: Promi (YC S24) – AI-powered ecommerce discounts,item?id=41247211,8,2024-08-13 22:00:00
How to triage patients and run a ER during a mass casualty incident,https://epmonthly.com/article/not-heroes-wear-capes-one-las-vegas-ed-saved-hundreds-lives-worst-mass-shooting-u-s-history/,7,2024-08-14 00:00:00
Show HN: A free tool to visualise scales on a guitar,https://stringscales.com/,6,2024-08-13 15:00:00
Real-Time Human Attention Estimation on Device,https://testflight.apple.com/join/Z6UFZA6Y,5,2024-08-13 22:00:00
They All Got Mysterious Brain Diseases. They're Fighting to Learn Why,https://www.nytimes.com/2024/08/14/magazine/canada-brain-disease-dementia.html,5,2024-08-13 23:12:00
Disney World: Cannot sue over wife's death at park as he signed up for Disney+,https://www.telegraph.co.uk/world-news/2024/08/14/florida-disney-world-allergy-death-lawsuit-smallprint/,5,2024-08-13 23:32:00
Stonehenge Altar Stone came from Scotland not Wales,https://www.bbc.co.uk/news/articles/c207lqdn755o,3,2024-08-14 00:00:00
CoinTracker (YC W18) Is Hiring a Consumer Product Lead,https://jobs.ashbyhq.com/cointracker/83a181d0-f08c-44ff-8b8c-e0ad3b7a89a1?utm_source=hackernews,0,2024-08-13 23:27:00
