title,time,link,points
How Diaries Evolved from Lists to Personal Histories,11 hours ago,https://slate.com/culture/2024/07/book-author-roland-allen-explains-the-history-of-the-diary-in-the-notebook-a-history-of-thinking-on-paper.html,20
DIY Raspberry Pi 1000 turns a Raspberry Pi 5 into a PC-in-a-keyboard,5 hours ago,https://liliputing.com/diy-raspberry-pi-1000-turns-a-raspberry-pi-5-into-a-pc-in-a-keyboard/,13
San Francisco Moves to Ban Anti-Competitive Rent Software,7 hours ago,https://www.pcmag.com/news/san-francisco-moves-to-ban-anti-competitive-rent-software,22
Against XMPP+omemo,4 hours ago,https://soatok.blog/2024/08/04/against-xmppomemo/,8
Parsing Protobuf Definitions with Tree-sitter,1 day ago,https://relistan.com/parsing-protobuf-files-with-treesitter,94
Review of Dark Star: A New History of the Space Shuttle,13 hours ago,https://www.thespacereview.com/article/4738/1,29
Ettore Majorana,8 hours ago,https://en.wikipedia.org/wiki/Ettore_Majorana,6
Revisiting Linux CPU Scheduling,1 day ago,https://www.uninformativ.de/blog/postings/2024-08-03/0/POSTING-en.html,79
The Internet Is Broken: Idealistic Ideas for Building a GNU Network [pdf] (2014),10 hours ago,https://www.w3.org/2014/strint/papers/65.pdf,10
I Wasn't the First Person to Find the NJ Coca-Cola Cocaine Factory,12 hours ago,https://rmcortes.medium.com/i-wasnt-the-first-to-find-the-nj-cocaine-factory-5f37aed74776,10
Computer Archeology: Exploring the Anatomy of an MS-DOS Virus,12 hours ago,https://www.metacodes.pro/blog/computer_archeology_exploring_the_anatomy_of_an_ms_dos_virus/,28
Reverse engineering the 59-pound printer onboard the Space Shuttle,1 day ago,http://www.righto.com/2024/08/space-shuttle-interim-teleprinter.html,316
Discovering algorithms by enumerating terms in Haskell,1 day ago,https://twitter.com/VictorTaelin/status/1819208143638831404,133
"Additive manufacturing of an ultrastrong, deformable aluminum alloy",1 day ago,https://www.nature.com/articles/s41467-024-48693-4,88
Make your electronics tamper-evident,1 day ago,https://www.anarsec.guide/posts/tamper/,252
Detecting Faster Than Light Travel by Extraterrestrials,5 hours ago,https://hackaday.com/2024/08/04/detecting-faster-than-light-travel-by-extraterrestrials/,11
How to build quickly,1 day ago,https://learnhowtolearn.org/how-to-build-extremely-quickly/,592
Go Donut: Convert Live Streaming to WebRTC,1 day ago,https://github.com/flavioribeiro/donut,119
Techniques used by developers to bypass App Store review,1 day ago,https://9to5mac.com/2024/08/02/developers-trick-app-store-review/,236
TPU transformation: A look back at 10 years of our AI-specialized chips,1 day ago,https://cloud.google.com/blog/transform/ai-specialized-chips-tpu-history-gen-ai,128
Clang vs. Clang,1 day ago,https://blog.cr.yp.to/20240803-clang.html,237
To preserve their work journalists take archiving into their own hands,1 day ago,https://www.niemanlab.org/2024/07/to-preserve-their-work-and-drafts-of-history-journalists-take-archiving-into-their-own-hands/,141
"Scientists may have found a cheap, natural cure for baldness",7 hours ago,https://www.sciencefocus.com/the-human-body/cheap-natural-cure-for-baldness,16
The First Law of Complexodynamics (2011),1 day ago,https://scottaaronson.blog/?p=762,37
Primitive Recursive Functions for a Working Programmer,1 day ago,https://matklad.github.io/2024/08/01/primitive-recursive-functions.html,176
Prover-Verifier Games improve legibility of LLM outputs,1 day ago,https://arxiv.org/abs/2407.13692,47
Sega Jet Rocket: The '70s arcade game with no computer or screen,1 day ago,https://newatlas.com/games/sega-jet-rocket-arcade-game/,128
p5.js,1 day ago,https://p5js.org/,445
A* search: optimized implementation in Lisp,1 day ago,https://gitlab.com/lockie/cl-astar,99
From McMurdo Sound to Flanders Fields,22 hours ago,https://nathangoldwag.wordpress.com/2024/08/01/from-mcmurdo-sound-to-flanders-fields-the-end-of-the-heroic-age-of-antarctic-exploration/,15
The food delivery bubble is bursting – and maybe that's not a bad thing,6 hours ago,https://www.salon.com/2024/08/04/the-delivery-bubble-is-bursting--and-maybe-thats-not-a-thing/,11
The Mystery of Detective Barbie's Audio,1 day ago,https://netninja.com/2024/08/01/the-mystery-of-detective-barbies-audio/,52
LLM as Database Administrator (2023),1 day ago,https://arxiv.org/abs/2312.01454,115
An FPGA built with 7400 series logic [video],1 day ago,https://media.ccc.de/v/cosin2024-56234-fpga-selber-bauen-mit-74,136
Handwritten Text Recognition for Xournal++ Using Deep Learning,1 day ago,https://github.com/PellelNitram/xournalpp_htr,31
