title,time,link,points
How I Program in 2024,1 hour ago,http://akkartik.name/post/programming-2024,72
Cortex A73's Not-So-Infinite Reordering Capacity,5 hours ago,https://chipsandcheese.com/2024/08/04/cortex-a73s-not-so-infinite-reordering-capacity/,107
Show HN: Free e-book about WebGPU Programming,4 hours ago,https://shi-yan.github.io/webgpuunleashed/,73
Porting my JavaScript game engine to C for no reason,11 hours ago,https://phoboslab.org/log/2024/08/high_impact,342
Jailbroke my Kindle to use it as an e-ink monitor,9 hours ago,https://gist.github.com/adtac/eb639d3c707b55a28f0ee9a420aa7e0c,170
WhenFS: Calender Is Now a File System,10 hours ago,https://github.com/lvkv/whenfs,213
"Enum class improvements for C++17, C++20 and C++23",7 hours ago,https://www.cppstories.com/2024/enum-improvements/,72
Japan stocks plunge as much as 7% as Asia shares extend sell-off,1 hour ago,https://www.cnbc.com/2024/08/05/asia-markets.html,44
Puget Systems' Perspective on Intel CPU Instability Issues,6 hours ago,https://www.pugetsystems.com/blog/2024/08/02/puget-systems-perspective-on-intel-cpu-instability-issues/,72
Romram: Using QSPI RAM with RP2040's SSI in read-write mode,6 hours ago,http://dmitry.gr/?r=06.%20Thoughts&proj=10.%20RomRam,35
Buster: Captcha Solver for Humans,9 hours ago,https://github.com/dessant/buster,85
Dispatches from the farm upstate,9 hours ago,https://lcamtuf.substack.com/p/dispatches-from-the-farm-upstate,71
"Age is a simple, modern and secure file encryption tool, format, and Go library",4 hours ago,https://github.com/FiloSottile/age,20
Qub – a framework for building websites with QBasic,6 hours ago,https://github.com/jamonholmgren/qub,35
Writing a system call tracer using eBPF,3 hours ago,https://sh4dy.com/2024/08/03/beetracer/,12
Evaluating a class of infinite sums in closed form,14 hours ago,https://www.johndcook.com/blog/2024/08/03/polylog/,121
Airlines are running out of 4-digit flight numbers,8 hours ago,https://viewfromthewing.com/airlines-are-running-out-of-flight-numbers-and-they-dont-know-what-to-do-about-it/,49
Self-Compressing Neural Networks,14 hours ago,https://arxiv.org/abs/2301.13142,149
Praise My GitHub Profile,10 hours ago,https://praise-me.fly.dev/,99
"Apprentice, Journeyman, and Master: The Medieval Guild (2018)",12 hours ago,https://blog.philosophicalsociety.org/2018/01/10/apprentice-journeyman-and-master-the-medieval-guild/,78
"50 years ago, CP/M started the microcomputer revolution",1 hour ago,https://www.theregister.com/2024/08/02/cpm_50th_anniversary/,7
"Zero regrets: Firefox power user kept 7,500 tabs open for two years",5 hours ago,https://www.techspot.com/news/102871-zero-regrets-firefox-power-user-kept-7500-tabs.html,11
Belenios: Verifiable online voting system,14 hours ago,https://www.belenios.org/,127
"How I Use ""AI""",1 day ago,https://nicholas.carlini.com/writing/2024/how-i-use-ai.html,294
Trellis (YC W24) is hiring eng to build AI workflows for unstructured data,10 hours ago,https://www.ycombinator.com/companies/trellis/jobs/1ypWafM-founding-engineer-full-time-backend-ml-infra,0
Making your own hot sauce,11 hours ago,https://successfulsoftware.net/2024/08/04/making-your-own-hot-sauce/,98
Improving _Generic in C2y,9 hours ago,https://thephd.dev/improving-_generic-in-c2y,35
The Spartan Protocol Homepage,7 hours ago,http://portal.mozz.us/gemini/spartan.mozz.us/,27
A primer on the current state of longevity research,9 hours ago,https://www.owlposting.com/p/some-questions-and-answers-i-had,40
Tomato nostalgia as I relive my Croatian island childhood,15 hours ago,https://www.croatiaweek.com/tomatoes-croatian-island-taste/,102
Rhombus: Macro-extensible language with conventional syntax built on Racket,18 hours ago,https://docs.racket-lang.org/rhombus/index.html,109
Organic maps: Experimental feed based public transport mapping,16 hours ago,https://github.com/organicmaps/organicmaps/blob/master/docs/EXPERIMENTAL_PUBLIC_TRANSPORT_SUPPORT.md,115
"A Knownbits Abstract Domain for the Toy Optimizer, Correctly",8 hours ago,https://pypy.org/posts/2024/08/toy-knownbits.html,20
Nvidia's Blackwell Reworked – Shipment Delays and GB200A Reworked Platforms,5 hours ago,https://www.semianalysis.com/p/nvidias-blackwell-reworked-shipment,46
USB Sniffer Lite for RP2040,20 hours ago,https://github.com/ataradov/usb-sniffer-lite,121
Open Source Farming Robot,1 day ago,https://farm.bot/,632
Show HN: AI-Powered Stock Market Analyst with Global Coverage,5 hours ago,https://decodeinvesting.com/chat,38
Show HN: KittyCal – minimalist PWA calendar app for couples,12 hours ago,https://kittycal.net,39
You can contribute to KDE with non-C++ code,17 hours ago,https://rabbitictranslator.com/contribute-to-kde-without-cpp/,93
Minimum Viable CD,9 hours ago,https://minimumcd.org/minimumcd/,15
"Indonesia bans search engine DuckDuckGo on gambling, pornography concerns",1 hour ago,https://www.reuters.com/world/asia-pacific/indonesia-bans-search-engine-duckduckgo-gambling-pornography-concerns-2024-08-02/,5
"""We ran out of columns""",1 day ago,https://jimmyhmiller.github.io/ugliest-beautiful-codebase,1462
Building a 10BASE5 Thick Ethernet Network (2012),10 hours ago,https://www.mattmillman.com/projects/10base5/,29
"Written by a 16 year old, a book on how computers work",12 hours ago,https://github.com/hackclub/RAM-a-thon,157
The introverts are winning,23 hours ago,https://newhumanist.org.uk/articles/6306/the-introverts-are-winning,104
You Can't Spell WebRTC Without RCE – Part 1,16 hours ago,https://margin.re/2024/07/you-cant-spell-webrtc-without-rce-part-1/,41
HamClock – a real time space weather dashboard,17 hours ago,https://www.clearskyinstitute.com/ham/HamClock/,60
Can reading make you happier? (2015),1 day ago,https://www.newyorker.com/culture/cultural-comment/can-reading-make-you-happier,134
The Untold Story of How US Spies Sabotaged Soviet Technology,14 hours ago,https://www.politico.com/news/magazine/2024/08/04/us-spies-soviet-technology-00164126,153
An attempt to understand Peter Thiel,5 hours ago,https://residualthoughts.substack.com/p/an-attempt-to-understand-peter-thiel,15
Chinese archaeologists are striking out along the Silk Road,11 hours ago,https://www.wsj.com/science/archaeology/china-reaches-back-in-time-to-challenge-the-west-way-way-back-236c4e90,48
"Ask HN: Trying to find an old HN post, failing at search",3 hours ago,item?id=41156962,8
I Miss Lorina Bulwer: A hand-stitched letter of note,13 hours ago,https://news.lettersofnote.com/p/i-miss-lorina-bulwer,30
Non-computability of solutions of certain equations on digital computers (2022),1 day ago,https://arxiv.org/abs/2205.12626,83
Monetagium – monetary extortion in feudal Europe,1 day ago,http://jpkoning.blogspot.com/2024/05/monetagium.html,119
