title,link,points,time
"""We ran out of columns""",https://jimmyhmiller.github.io/ugliest-beautiful-codebase,1576,2024-08-03 00:00:00
Starting Hospice,https://jakeseliger.com/2024/08/04/starting-hospice-the-end/,1098,2024-08-05 00:00:00
Google loses antitrust suit over search deals on phones,https://www.bloomberg.com/news/articles/2024-08-05/google-loses-doj-antitrust-suit-over-search,873,2024-08-05 04:00:00
Open Source Farming Robot,https://farm.bot/,691,2024-08-04 00:00:00
Launch HN: Airhart Aeronautics (YC S22) – A modern personal airplane,item?id=41163382,645,2024-08-05 03:00:00
How Postgres stores data on disk – this one's a page turner,https://drew.silcock.dev/blog/how-postgres-stores-data-on-disk/,510,2024-08-05 00:00:00
Porting my JavaScript game engine to C for no reason,https://phoboslab.org/log/2024/08/high_impact,510,2024-08-05 00:00:00
Andy Warhol's lost Amiga art found,https://dfarq.homeip.net/andy-warhols-lost-amiga-art-found/,474,2024-08-05 01:00:00
Show HN: Free e-book about WebGPU Programming,https://shi-yan.github.io/webgpuunleashed/,446,2024-08-05 00:00:00
"How I Use ""AI""",https://nicholas.carlini.com/writing/2024/how-i-use-ai.html,421,2024-08-04 00:00:00
No Salt,https://jakeseliger.com/2024/08/05/no-salt/,421,2024-08-05 13:00:00
Jailbroke my Kindle to use it as an e-ink monitor,https://gist.github.com/adtac/eb639d3c707b55a28f0ee9a420aa7e0c,407,2024-08-05 00:00:00
WhenFS: Calendar Is Now a File System,https://github.com/lvkv/whenfs,347,2024-08-05 00:00:00
OpenAI co-founder John Schulman says he will leave and join rival Anthropic,https://www.cnbc.com/2024/08/06/openai-co-founder-john-schulman-says-he-will-join-rival-anthropic.html,324,2024-08-05 18:00:00
A new type of neural network is more interpretable,https://spectrum.ieee.org/kan-neural-network,301,2024-08-05 02:00:00
"Age is a simple, modern and secure file encryption tool, format, and Go library",https://github.com/FiloSottile/age,282,2024-08-05 00:00:00
Airlines are running out of 4-digit flight numbers,https://viewfromthewing.com/airlines-are-running-out-of-flight-numbers-and-they-dont-know-what-to-do-about-it/,273,2024-08-05 00:00:00
Show HN: Pie Menu – a radial menu for macOS,https://www.pie-menu.com/,268,2024-08-05 02:00:00
Uncovered Euripides fragments are 'kind of a big deal',https://www.colorado.edu/asmagazine/2024/08/01/uncovered-euripides-fragments-are-kind-big-deal,264,2024-08-05 00:00:00
Building Lego Machines to Destroy Tall Lego Towers,https://kottke.org/24/07/building-lego-machines-to-destroy-tall-lego-towers,259,2024-08-05 00:00:00
Show HN: Iso20022.js – Create payments in 3 lines of code,https://www.iso20022js.com/,251,2024-08-05 03:00:00
Can we stop the decline of monarch butterflies and other pollinators?,https://www.wisfarmer.com/story/news/2024/08/05/can-we-stop-the-decline-of-monarch-butterflies-and-other-pollinators/74638545007/,249,2024-08-05 06:00:00
Fiber optic drone control beats any RF jammer,https://www.forbes.com/sites/davidhambling/2024/03/08/russian-fiber-optic-drone-can-beat-any-jammer/,225,2024-08-04 00:00:00
WebGL visual programming editor cables.gl is now open source,https://cables.gl/standalone,217,2024-08-05 01:00:00
Debugging a rustc segfault on Illumos,https://sunshowers.io/posts/rustc-segfault-illumos/,199,2024-08-05 06:00:00
