title,link,points,time
Organic maps: Experimental feed based public transport mapping,https://github.com/organicmaps/organicmaps/blob/master/docs/EXPERIMENTAL_PUBLIC_TRANSPORT_SUPPORT.md,192,2024-08-04 00:00:00
Belenios: Verifiable online voting system,https://www.belenios.org/,179,2024-08-04 00:00:00
X is closing San Francisco HQ and relocating staffers to San Jose,https://fortune.com/2024/08/05/x-closing-san-francisco-hq-relocating-staffers-san-jose-palo-alto-shared-space-with-x-ai-linda-yaccarino-leaked-email/,176,2024-08-05 18:00:00
A cryptographically secure bootloader for RISC-V in Rust,https://www.codethink.co.uk/articles/2024/secure_bootloader/,173,2024-08-05 00:00:00
The Soul of Maintaining a New Machine,https://books.worksinprogress.co/book/maintenance-of-everything/communities-of-practice/the-soul-of-maintaining-a-new-machine/1,172,2024-08-05 13:00:00
The introverts are winning,https://newhumanist.org.uk/articles/6306/the-introverts-are-winning,156,2024-08-04 00:00:00
I don't know how CPUs work so I simulated one in code (2019),https://djharper.dev/post/2019/05/21/i-dont-know-how-cpus-work-so-i-simulated-one-in-code/,148,2024-08-05 06:00:00
USB Sniffer Lite for RP2040,https://github.com/ataradov/usb-sniffer-lite,144,2024-08-04 00:00:00
Buster: Captcha Solver for Humans,https://github.com/dessant/buster,142,2024-08-05 00:00:00
How the music industry learned to love piracy,https://www.nytimes.com/2024/07/31/magazine/how-music-got-free-documentary.html,142,2024-08-05 03:00:00
Rhombus: Macro-extensible language with conventional syntax built on Racket,https://docs.racket-lang.org/rhombus/index.html,132,2024-08-04 00:00:00
Building rqlite 9.0: Cutting disk usage by half,https://www.philipotoole.com/building-rqlite-9-0-cutting-disk-usage-by-half/,130,2024-08-05 11:00:00
"WordStar 7, the last ever DOS version, is re-released for free",https://www.theregister.com/2024/08/06/wordstar_7_the_last_ever/,130,2024-08-05 19:00:00
Google Is Ending Production of Chromecast,https://blog.google/products/google-nest/chromecast-history/,128,2024-08-05 23:13:00
Dispatches from the farm upstate,https://lcamtuf.substack.com/p/dispatches-from-the-farm-upstate,127,2024-08-05 00:00:00
Show HN: Visual A* pathfinding and maze generation in Python,https://github.com/Dicklesworthstone/visual_astar_python,126,2024-08-05 01:00:00
Qub – a framework for building websites with QBasic,https://github.com/jamonholmgren/qub,111,2024-08-05 00:00:00
You can contribute to KDE with non-C++ code,https://rabbitictranslator.com/contribute-to-kde-without-cpp/,110,2024-08-04 00:00:00
"Apprentice, Journeyman, and Master: The Medieval Guild (2018)",https://blog.philosophicalsociety.org/2018/01/10/apprentice-journeyman-and-master-the-medieval-guild/,110,2024-08-05 00:00:00
Replacing Liquid Metal on an Asus Zephyrus G15's CPU,https://flemesre.github.io/posts/liquid-metal-replacement/,95,2024-08-05 06:00:00
Single-packet race condition breaking the 65535 byte lim,https://flatt.tech/research/posts/beyond-the-limit-expanding-single-packet-race-condition-with-first-sequence-sync/,92,2024-08-05 00:00:00
Writing a tile server in Python,https://www.grulic.org.ar/~mdione/glob/posts/writing-a-tile-server-in-python/,90,2024-08-05 15:00:00
C++'s `noexcept` can sometimes help or hurt performance,https://16bpp.net/blog/post/noexcept-can-sometimes-help-or-hurt-performance/,87,2024-08-05 03:00:00
"Below the Root: A story, a computer game and my lifelong obsession (2015)",https://blog.stahlmandesign.com/below-the-root-a-story-a-computer-game-and-my-lifelong-obsession/,79,2024-08-05 06:00:00
"Associative tools, thinking, and creativity: On augmenting creativity",https://thelastwave.substack.com/p/associative-tools-thinking-and-creativity,75,2024-08-05 02:00:00
A RoCE network for distributed AI training at scale,https://engineering.fb.com/2024/08/05/data-center-engineering/roce-network-distributed-ai-training-at-scale/,73,2024-08-05 02:00:00
The Composer Has No Clothes,https://thebaffler.com/latest/the-composer-has-no-clothes-brown,70,2024-08-05 08:00:00
"Knuckledragger, a Semi-Automated Python Proof Assistant",https://www.philipzucker.com/state_o_knuck/,68,2024-08-05 01:00:00
Undark and the Radium Girls (2006),https://www.damninteresting.com/undark-and-the-radium-girls/,67,2024-08-05 03:00:00
Romram: Using QSPI RAM with RP2040's SSI in read-write mode,http://dmitry.gr/?r=06.%20Thoughts&proj=10.%20RomRam,64,2024-08-05 00:00:00
Rosalind Franklin's Methods of Discovery,https://daily.jstor.org/rosalind-franklins-methods-of-discovery/,61,2024-08-05 06:00:00
The tragedy of low-level exploitation,https://gynvael.coldwind.pl/?id=791,58,2024-08-05 00:00:00
The Saucer – A DIY trackpad attachment for the Voyager,https://blog.zsa.io/diy-voyager-trackpad-saucer/,54,2024-08-05 20:00:00
"KCL, a constraint-based functional language for configuration",https://www.kcl-lang.io/,52,2024-08-05 01:00:00
It's lights out at a cosmic restaurant,https://www.nytimes.com/2024/08/04/science/space/astronomy-palomar-restaurant.html,51,2024-08-05 04:00:00
The Path to StyleGan2 – Implementing the Progressive Growing GAN,https://ym2132.github.io/Progressive_GAN,50,2024-08-05 06:00:00
DCPerf: An open source benchmark suite for hyperscale compute applications,https://engineering.fb.com/2024/08/05/data-center-engineering/dcperf-open-source-benchmark-suite-for-hyperscale-compute-applications/,48,2024-08-05 02:00:00
A Different Kind of Disc Brake: 1949 Chrysler,https://www.macsmotorcitygarage.com/a-completely-different-kind-of-disc-brake-1949-chrysler/,47,2024-08-05 15:00:00
Show HN: Telemetry.sh – Simplifying Telemetry Measurement,https://telemetry.sh/,40,2024-08-05 00:00:00
I'm taking a sabbatical through end of year,https://twitter.com/gdb/status/1820644694264791459,37,2024-08-05 12:00:00
"Creativity secrets from armed robbers, fraudsters and other criminals",https://denisecullen.com.au/creativity-secrets-from-armed-robbers-fraudsters-and-other-criminals/,35,2024-08-05 12:00:00
How old is your globe? [pdf],https://replogleglobes.com/app/uploads/2023/09/How-old-is-your-globerv.pdf,30,2024-08-05 16:00:00
"Show HN: I built a simple, open-source tool to manage servers and SSH keys",https://github.com/d3witt/viking,29,2024-08-06 00:00:00
#F – A Minimalistic Scheme System,https://github.com/false-schemers/sharpF,27,2024-08-05 11:00:00
Everything that turned out well in my life followed the same design process,https://www.henrikkarlsson.xyz/p/unfolding,26,2024-08-05 10:00:00
IT workers gather in large numbers to protest 14-hour workday proposal,https://www.thehindu.com/news/cities/bangalore/it-workers-gather-in-large-numbers-to-protest-14-hour-workday-proposal/article68482605.ece,23,2024-08-05 13:00:00
Introdution to Computer architecture explained with Minecraft [video],https://www.youtube.com/watch?v=dV_lf1kyV9M,22,2024-08-05 18:00:00
Scheduling Model in LLVM,https://myhsu.xyz/llvm-sched-model-1/,20,2024-08-05 00:00:00
Crafting Formulas: Lambdas All the Way Down,https://text.marvinborner.de/2024-04-16-10.html,20,2024-08-06 00:00:00
Japan stocks rebound sharply after worst rout in history,https://www.cnn.com/2024/08/05/business/japan-nikkei-225-stock-market-rebound-intl-hnk/index.html,19,2024-08-05 13:00:00
Hiding messages in x86 binaries using semantic duals,https://blog.yossarian.net/2020/08/16/Hiding-messages-in-x86-binaries-using-semantic-duals,18,2024-08-05 05:00:00
3D printed laser chip-hacking device uses $20 laser pointer; costs $500 to build,https://www.pcgamer.com/hardware/this-3d-printed-laser-chip-hacking-device-uses-a-dollar20-laser-pointer-costs-dollar500-to-build-and-was-developed-so-that-people-can-do-this-in-their-homes/,17,2024-08-05 16:00:00
Stereographer,https://www.engineersneedart.com/stereographer/stereographer.html,14,2024-08-06 00:00:00
Plunk: The open source email platform,https://github.com/useplunk/plunk,13,2024-08-05 18:00:00
"Slingcode – App platform in a single HTML file, QR-code transmittable apps",https://slingcode.net/,12,2024-08-05 11:00:00
Phantom Menance: memory leak that wasn't there,https://flakm.com/posts/phantom_leak/,11,2024-08-05 19:00:00
Show HN: I revamped JustWatch with a minimalist UI,https://streamin.co/us,10,2024-08-05 11:00:00
"Open-Source AMD GPU Implementation of CUDA ""Zluda"" Has Been Taken Down",https://www.phoronix.com/news/AMD-ZLUDA-CUDA-Taken-Down,10,2024-08-05 23:53:00
Will Google's anti-monopoly lawsuit be the death knell for Mozilla and Firefox?,https://fortune.com/2024/08/05/mozilla-firefox-biggest-potential-loser-google-antitrust-search-ruling/,8,2024-08-05 23:03:00
Sierra On-Line Documentary to be made with impressive ex-employee cast,https://www.backerkit.com/c/projects/legends-of-adventure/legends-of-adventure,8,2024-08-06 00:00:00
Y'all are sleeping on HTTP/3,https://kmcd.dev/posts/yall-are-sleeping-on-http3/,7,2024-08-06 00:00:00
Show HN: A web extension to link Gitlab branch in Linear issues page,https://github.com/yashwanth2804/Linear-gitlab-extention,5,2024-08-05 13:00:00
Study suggests Egyptians used hydraulic lifts to build Pyramid of Djoser,https://arstechnica.com/science/2024/08/did-ancient-egyptians-use-a-hydraulic-lift-to-build-the-pyramid-of-djoser/,3,2024-08-05 20:00:00
WordStar for DOS 7.0 Archive,https://sfwriter.com/blog/?p=5806,3,2024-08-05 22:00:00
Hazel (YC W24) Is Hiring,https://www.ycombinator.com/companies/hazel-2/jobs/kw9CiUM-founding-engineer-full-stack-or-ai-ml,0,2024-08-05 21:00:00
